File Path	chrom://pc-99hx762/ChromeleonLocal/Instrument Data/PC-99HX762_1/Sequenzen/CarboPac-PA1/20170526_MME_Angel.seq/850.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	20170526_MME_AA_STD-Mix2
Injection Number	5
Position	5
Comment	
Processing Method	
Instrument Method	0-400 mM NaAc 40 min_OHNE_PORT_B 1HZ
Type	Unknown
Status	Finished
Injection Date	26.05.2017
Injection Time	16:52:02
Injection Volume (µl)	25,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000000
Time Max. (min)	54,000000
Data Points	3241
Detector	EDet1
Generating Data System	Chromeleon 7.2.3.7553
Exporting Data System	Chromeleon 7.2.3.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-0,774900
Signal Max.	210,061603
Channel	ED_1
Driver Name	DC-3000
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
10,750000	1	5,669450
10,766667	1	5,662550
10,783333	1	5,662800
10,800000	1	5,677450
10,816667	1	5,672800
10,833333	1	5,680950
10,850000	1	5,688350
10,866667	1	5,708850
10,883333	1	5,727050
10,900000	1	5,717400
10,916667	1	5,740300
10,933333	1	5,758900
10,950000	1	5,787650
10,966667	1	5,794350
10,983333	1	5,803100
11,000000	1	5,802050
11,016667	1	5,802600
11,033333	1	5,805150
11,050000	1	5,792350
11,066667	1	5,790700
11,083333	1	5,790450
11,100000	1	5,785900
11,116667	1	5,762400
11,133333	1	5,728050
11,150000	1	5,726550
11,166667	1	5,716750
11,183333	1	5,705550
11,200000	1	5,713000
11,216667	1	5,704900
11,233333	1	5,719700
11,250000	1	5,720900
11,266667	1	5,732250
11,283333	1	5,737900
11,300000	1	5,748800
11,316667	1	5,753900
11,333333	1	5,778000
11,350000	1	5,791400
11,366667	1	5,809600
11,383333	1	5,819550
11,400000	1	5,837950
11,416667	1	5,861350
11,433333	1	5,869950
11,450000	1	5,888400
11,466667	1	5,884850
11,483333	1	5,906150
11,500000	1	5,917450
11,516667	1	5,905300
11,533333	1	5,899550
11,550000	1	5,905050
11,566667	1	5,904150
11,583333	1	5,895100
11,600000	1	5,867100
11,616667	1	5,851550
11,633333	1	5,842400
11,650000	1	5,832800
11,666667	1	5,809350
11,683333	1	5,805450
11,700000	1	5,810600
11,716667	1	5,810650
11,733333	1	5,802250
11,750000	1	5,792550
11,766667	1	5,793350
11,783333	1	5,820200
11,800000	1	5,839350
11,816667	1	5,825700
11,833333	1	5,839850
11,850000	1	5,838950
11,866667	1	5,859200
11,883333	1	5,850800
11,900000	1	5,845500
11,916667	1	5,834550
11,933333	1	5,829950
11,950000	1	5,831200
11,966667	1	5,824750
11,983333	1	5,825900
12,000000	1	5,825550
12,016667	1	5,857950
12,033333	1	5,848550
12,050000	1	5,874150
12,066667	1	5,880450
12,083333	1	5,906900
12,100000	1	5,909850
12,116667	1	5,918050
12,133333	1	5,923400
12,150000	1	5,938200
12,166667	1	5,943300
12,183333	1	5,948250
12,200000	1	5,936200
12,216667	1	5,934750
12,233333	1	5,960950
12,250000	1	5,945200
12,266667	1	5,949350
12,283333	1	5,960700
12,300000	1	5,966000
12,316667	1	5,993600
12,333333	1	6,004900
12,350000	1	6,018350
12,366667	1	6,004650
12,383333	1	6,021950
12,400000	1	6,052650
12,416667	1	6,063400
12,433333	1	6,074900
12,450000	1	6,086350
12,466667	1	6,105550
12,483333	1	6,108400
12,500000	1	6,120550
12,516667	1	6,149150
12,533333	1	6,142500
12,550000	1	6,177700
12,566667	1	6,187600
12,583333	1	6,187700
12,600000	1	6,216250
12,616667	1	6,253200
12,633333	1	6,257550
12,650000	1	6,278250
12,666667	1	6,280900
12,683333	1	6,312050
12,700000	1	6,367100
12,716667	1	6,399300
12,733333	1	6,457150
12,750000	1	6,522200
12,766667	1	6,606450
12,783333	1	6,680750
12,800000	1	6,726200
12,816667	1	6,746800
12,833333	1	6,748250
12,850000	1	6,729900
12,866667	1	6,706300
12,883333	1	6,659900
12,900000	1	6,632300
12,916667	1	6,585000
12,933333	1	6,569050
12,950000	1	6,545750
12,966667	1	6,529900
12,983333	1	6,509050
13,000000	1	6,512250
13,016667	1	6,521350
13,033333	1	6,528650
13,050000	1	6,531150
13,066667	1	6,547150
13,083333	1	6,585950
13,100000	1	6,670050
13,116667	1	6,913400
13,133333	1	7,668700
13,150000	1	9,590950
13,166667	1	14,039250
13,183333	1	23,203800
13,200000	1	39,763251
13,216667	1	65,817951
13,233333	1	101,287152
13,250000	1	141,664502
13,266667	1	178,269353
13,283333	1	203,393203
13,300000	1	210,061603
13,316667	1	196,805453
13,333333	1	168,060853
13,350000	1	131,895152
13,366667	1	96,075551
13,383333	1	65,906901
13,400000	1	43,443351
13,416667	1	28,861550
13,433333	1	19,804650
13,450000	1	14,665950
13,466667	1	11,820400
13,483333	1	10,247100
13,500000	1	9,357050
13,516667	1	8,803550
13,533333	1	8,436000
13,550000	1	8,166300
13,566667	1	7,959350
13,583333	1	7,789950
13,600000	1	7,645500
13,616667	1	7,540800
13,633333	1	7,435350
13,650000	1	7,337100
13,666667	1	7,248450
13,683333	1	7,216750
13,700000	1	7,140300
13,716667	1	7,103800
13,733333	1	7,076550
13,750000	1	7,033750
13,766667	1	7,019150
13,783333	1	7,005500
13,800000	1	6,973850
13,816667	1	6,963050
13,833333	1	6,961350
13,850000	1	6,947650
13,866667	1	6,933600
13,883333	1	6,934400
13,900000	1	6,940750
13,916667	1	6,939550
13,933333	1	6,950900
13,950000	1	6,931350
13,966667	1	6,914100
13,983333	1	6,905600
14,000000	1	6,901050
14,016667	1	6,888100
14,033333	1	6,853750
14,050000	1	6,845750
14,066667	1	6,839950
14,083333	1	6,855500
14,100000	1	6,819750
14,116667	1	6,840950
14,133333	1	6,839100
14,150000	1	6,834450
14,166667	1	6,832450
14,183333	1	6,830700
14,200000	1	6,833150
14,216667	1	6,841450
14,233333	1	6,868750
14,250000	1	6,859400
14,266667	1	6,868600
14,283333	1	6,872000
14,300000	1	6,889350
14,316667	1	6,877150
14,333333	1	6,881700
14,350000	1	6,889200
14,366667	1	6,898150
14,383333	1	6,917600
14,400000	1	6,933100
14,416667	1	6,957100
14,433333	1	6,979300
14,450000	1	7,011150
14,466667	1	7,015300
14,483333	1	6,996300
14,500000	1	6,987300
14,516667	1	6,988850
14,533333	1	6,987800
14,550000	1	6,993900
14,566667	1	7,100650
14,583333	1	7,451600
14,600000	1	7,488900
14,616667	1	7,209350
14,633333	1	7,016850
14,650000	1	6,952950
14,666667	1	6,914850
14,683333	1	6,869250
14,700000	1	6,864300
14,716667	1	6,861600
14,733333	1	6,842750
14,750000	1	6,861200
14,766667	1	6,859400
14,783333	1	6,840200
14,800000	1	6,831500
14,816667	1	6,846250
14,833333	1	6,864250
14,850000	1	6,853250
14,866667	1	6,860400
